ci_low,Median,ci_high,Model,Metric,Prediction Interval,Exclusion Interval,exp_id
0.03856504610998324,0.0786452469331161,0.13252221760129798,transformer,auprc,12,3,fe93f98852392776304881fc8fc0543c
0.06306122448979593,0.12612612612612611,0.22628083491461085,transformer,precision,12,3,fe93f98852392776304881fc8fc0543c
0.36331168831168836,0.6875,1.0,transformer,recall,12,3,fe93f98852392776304881fc8fc0543c
0.0,5.3125,21.049999999999983,transformer,odds_ratio,12,3,fe93f98852392776304881fc8fc0543c
0.0877462849020958,0.08911996334791183,0.09554777294397351,transformer,thershold,12,3,fe93f98852392776304881fc8fc0543c
,"{""precision"": [0.0, 0.25806451612903225, 0.22580645161290322, 0.22123893805309736, 0.20253164556962025, 0.2146118721461187], ""recall"": [0.0, 0.1568627450980392, 0.27450980392156865, 0.49019607843137253, 0.6274509803921569, 0.9215686274509803], ""tpr"": [0.0, 0.1568627450980392, 0.27450980392156865, 0.49019607843137253, 0.6274509803921569, 0.9215686274509803], ""fpr"": [0.005291005291005291, 0.12169312169312169, 0.25396825396825395, 0.4656084656084656, 0.6666666666666666, 0.91005291005291], ""odds_ratio"": [0.0, 1.3427704752275025, 1.1114864864864866, 1.1035839160839163, 0.8421052631578947, 1.1613372093023255], ""thresholds"": [0.11143962293863297, 0.0962732583284378, 0.0925474613904953, 0.08793045580387115, 0.08521190285682678, 0.0823715478181839], ""cm"": [62.0, 127.0, 4.0, 47.0]}",,transformer,curves,36,3,fe93f98852392776304881fc8fc0543c
0.1708,0.2167,0.26690499999999995,transformer,incidence,36,3,fe93f98852392776304881fc8fc0543c
0.4685515934690907,0.5456073509636933,0.6259325840188226,transformer,auroc,36,3,fe93f98852392776304881fc8fc0543c
0.5673404255319154,0.671875,0.7410444803080495,transformer,fpr,36,3,fe93f98852392776304881fc8fc0543c
0.8255215123859196,0.92,0.981182614555256,transformer,tpr,36,3,fe93f98852392776304881fc8fc0543c
0.1664103155234723,0.22158843954836865,0.2882003430474866,transformer,auprc,36,3,fe93f98852392776304881fc8fc0543c
0.21418595371109336,0.2711864406779661,0.34066467630421116,transformer,precision,36,3,fe93f98852392776304881fc8fc0543c
0.8255215123859196,0.92,0.981182614555256,transformer,recall,36,3,fe93f98852392776304881fc8fc0543c
1.9998933901918978,5.343801652892562,26.661766261237425,transformer,odds_ratio,36,3,fe93f98852392776304881fc8fc0543c
0.08493081480264664,0.08493081480264664,0.0850674651563167,transformer,thershold,36,3,fe93f98852392776304881fc8fc0543c
,"{""precision"": [0.0, 0.3225806451612903, 0.3870967741935484, 0.34513274336283184, 0.33544303797468356, 0.3287671232876712], ""recall"": [0.0, 0.12987012987012986, 0.3116883116883117, 0.5064935064935064, 0.6883116883116883, 0.935064935064935], ""tpr"": [0.0, 0.12987012987012986, 0.3116883116883117, 0.5064935064935064, 0.6883116883116883, 0.935064935064935], ""fpr"": [0.006134969325153374, 0.12883435582822086, 0.2331288343558282, 0.4539877300613497, 0.6441717791411042, 0.901840490797546], ""odds_ratio"": [0.0, 1.0092395167022032, 1.4895729890764646, 1.234352773826458, 1.2198412698412697, 1.5673469387755101], ""thresholds"": [0.11143962293863297, 0.0962732583284378, 0.0925474613904953, 0.08793045580387115, 0.08521190285682678, 0.0823715478181839], ""cm"": [57.0, 106.0, 9.0, 68.0]}",,transformer,curves,60,3,fe93f98852392776304881fc8fc0543c
0.2625,0.3208,0.37100999999999995,transformer,incidence,60,3,fe93f98852392776304881fc8fc0543c
0.4862501936839934,0.5536161616161617,0.6271767828948556,transformer,auroc,60,3,fe93f98852392776304881fc8fc0543c
0.5721481918238994,0.6608187134502924,0.887925875688183,transformer,fpr,60,3,fe93f98852392776304881fc8fc0543c
0.8381105743424585,0.8985507246376812,1.0,transformer,tpr,60,3,fe93f98852392776304881fc8fc0543c
0.2680349087148611,0.3355776793629486,0.40101128571228345,transformer,auprc,60,3,fe93f98852392776304881fc8fc0543c
